animal_id,animal_subid,animal_area_pkid,animal_shelter_pkid,animal_place,animal_kind,animal_sex,animal_bodytype,animal_colour,animal_age,animal_sterilization,animal_bacterin,animal_foundplace,animal_title,animal_status,animal_remark,animal_caption,animal_opendate,animal_closeddate,animal_update,animal_createtime,shelter_name,album_name,album_file,album_base64,album_update,cDate,shelter_address,shelter_tel,
10607251005001,10607080008,10,91,中途動物醫院,狗,M,MEDIUM,其他黃棕,CHILD,T,N,,,OPEN,我在南屯區 長春動物醫院開放認養 歡迎來電詢問04-23826639,,2017-07-25,2999-12-31,2017-10-07 23:58:58,2017-07-25 10:09:20,臺中市中途動物醫院,,http://animal-adoption.coa.gov.tw/uploads/animal_album/91/ce07f6e406a9bb716fea9cc8854346a6.png,,,2017/10/8 上午 12:04:48,,,
10607311005003,10607180003,10,91,中途動物醫院,狗,F,MEDIUM,其他黃棕,CHILD,T,N,,,OPEN,我在南區 長和動物醫院開放認養 歡迎來電詢問04-22219626,,2017-07-31,2999-12-31,2017-10-07 23:58:30,2017-07-31 09:46:05,臺中市中途動物醫院,,http://animal-adoption.coa.gov.tw/uploads/animal_album/91/8c23e88034357bd8fb1eb063db628a65.png,,,2017/10/8 上午 12:04:49,,,
10609301002007,10609270052,10,67,南屯園區,狗,F,SMALL,黑色,CHILD,T,N,,,OPEN,,,2017-09-30,2999-12-31,2017-10-07 23:58:26,2017-09-30 15:36:15,臺中市動物之家南屯園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/67/61d1c2ed00b18935b2984388c9794335.png,,,2017/10/8 上午 12:05:20,臺中市南屯區中台路601號,04-23850976,
10607311005004,10607230007,10,91,中途動物醫院,狗,F,MEDIUM,黃色,CHILD,T,N,,,OPEN,我在南區 長和動物醫院開放認養 歡迎來電詢問04-22219626,,2017-07-31,2999-12-31,2017-10-07 23:58:18,2017-07-31 09:47:05,臺中市中途動物醫院,,http://animal-adoption.coa.gov.tw/uploads/animal_album/91/d3e78d1e75ca1dd08df6ed0789465f30.png,,,2017/10/8 上午 12:04:49,,,
10608031005001,10607180004,10,91,中途動物醫院,狗,F,MEDIUM,其他黃棕,CHILD,T,N,,,OPEN,我在南區 祥億動物醫院開放認養 歡迎來電詢問04-22606450,,2017-08-03,2999-12-31,2017-10-07 23:57:38,2017-08-03 08:26:31,臺中市中途動物醫院,,http://animal-adoption.coa.gov.tw/uploads/animal_album/91/a2ef0d438dc57799075ea1b78bf1353b.png,,,2017/10/8 上午 12:04:49,,,
10301100005018,10301070018,10,91,中途動物醫院,狗,F,SMALL,黃色,ADULT,T,N,,,OPEN,北區中台動物醫院開放認養~Tel:04-22922955~,,2014-01-13,2999-12-31,2017-10-07 23:57:06,2014-01-10 13:50:16,臺中市中途動物醫院,,http://animal-adoption.coa.gov.tw/uploads/animal_album/91/b6b107b15de1e9d8d56d6309fae48668.png,,,2017/10/7 下午 11:59:18,,,
10509221201008,151203-157,12,70,南投縣公立動物收容所,狗,M,MEDIUM,黃色,ADULT,T,N,,,OPEN,,,2016-09-22,2999-12-31,2017-10-07 23:56:01,2016-09-22 09:27:47,南投縣公立動物收容所,,http://animal-adoption.coa.gov.tw/uploads/animal_album/70/ad9c629fa7f42480dd99b63139b2b77f.jpg,,,2017/10/8 上午 12:02:48,南投縣南投市嶺興路36之1號,049-2225440,
10510170601023,20161017004,6,61,,狗,M,MEDIUM,黑,ADULT,N,N,復興區,,OPEN,晶片未登記,,2016-10-17,2999-12-31,2017-10-07 23:55:22,2016-10-17 16:06:40,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/e21eeed23ea04f87809c7126efb402f7.jpg,,,2017/10/8 上午 12:02:57,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765,
10510210601015,20161021015,6,61,,狗,M,MEDIUM,黃,ADULT,N,N,龍潭區,,OPEN,,,2016-10-21,2999-12-31,2017-10-07 23:54:58,2016-10-21 15:50:38,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/03ed2199c6f64705bf96b6800883ba92.jpg,,,2017/10/8 上午 12:02:59,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765,
10603201701044,0301A24-9,17,75,高雄市壽山站動物保護教育園區,狗,F,SMALL,棕,CHILD,F,N,鼓山區維也納,,OPEN,,,2017-03-20,2999-12-31,2017-10-07 23:54:51,2017-03-20 14:57:15,高雄市壽山動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/75/46c79e20643d33a2af68e6a89fe405c0.jpg,,,2017/10/8 上午 12:04:00,高雄市鼓山區萬壽路350號,07-5519059,
10511140601014,20161114014,6,61,,狗,M,SMALL,黑,ADULT,N,N,大溪區,,OPEN,,,2016-11-14,2999-12-31,2017-10-07 23:54:23,2016-11-14 16:28:10,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/26531d0423ac45b3b279f499296935a8.jpg,,,2017/10/8 上午 12:03:10,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765,
10511221005004,10510210018,10,91,中途動物醫院,狗,M,MEDIUM,棕色,CHILD,T,N,,,OPEN,我在北屯區 永信動物醫院開放認養 歡迎來電詢問04-24371487,,2016-11-22,2999-12-31,2017-10-07 23:54:05,2016-11-22 13:28:16,臺中市中途動物醫院,,http://animal-adoption.coa.gov.tw/uploads/animal_album/91/9bd0a1729822a09eea94f263855febfc.png,,,2017/10/8 上午 12:03:12,,,
10511240601020,20161124017,6,61,,狗,M,MEDIUM,黃,ADULT,N,N,中壢區,,OPEN,,,2016-11-24,2999-12-31,2017-10-07 23:53:49,2016-11-24 16:12:37,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/6e812ca816eabca4315a1ebbda110817.jpg,,,2017/10/8 上午 12:03:13,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765,
10307180302001,新北新店20140718-1,3,51,新北市新店動物之家,狗,M,MINI,黑色,CHILD,N,N,新店區,,OPEN,,,2014-07-18,2999-12-31,2017-10-07 23:53:07,2014-07-18 16:14:37,新北市新店區公立動物之家,,http://animal-adoption.coa.gov.tw/uploads/animal_album/51/6c0a4d168e9041df8639fc6dda47bd00.jpg,,,2017/10/7 下午 11:59:45,新北市新店區安泰路235號,02-22159462,
10512080601002,20161208002,6,61,,狗,M,MEDIUM,黃,ADULT,N,N,復興區,,OPEN,咖啡項圈,,2016-12-08,2999-12-31,2017-10-07 23:52:52,2016-12-08 17:06:49,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/3f856e195091bc9aaf9531909c4c50f5.jpg,,,2017/10/8 上午 12:03:22,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765,
10512080601017,20161208017,6,61,,狗,M,SMALL,黃,CHILD,F,N,平鎮區,,OPEN,,,2016-12-08,2999-12-31,2017-10-07 23:52:41,2016-12-08 17:06:50,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/dc8dff4443f529db1bfc15da639a9c6c.jpg,,,2017/10/8 上午 12:03:23,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765,
10502220201011,105022107,2,49,臺北市,狗,M,MEDIUM,黃,ADULT,F,N,萬華國中,,OPEN,我是大俠 在動物之家已超過半年的時間 現在的我還是很緊迫 雖然在眾多親人的狗狗中我顯得不太出色 但我仍希望有屬於自己的家 能否給我一個機會 讓我成為充滿勇氣自信的大俠呢？,19413,2016-12-21,2999-12-31,2017-10-07 23:51:53,2016-02-22 11:44:58,臺北市動物之家,,http://animal-adoption.coa.gov.tw/uploads/animal_album/49/ef7a8471fd713b1107967d4d68523eca.jpg,,,2017/10/8 上午 12:03:27,臺北市內湖區潭美街852號,02-87913254;02-87913255,
10610030601009,20171003009,6,61,,狗,M,SMALL,黑,ADULT,F,N,蘆竹區,,OPEN,,,2017-10-03,2999-12-31,2017-10-07 23:51:43,2017-10-03 17:13:52,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/9991862963f95d178bda185f8ee058db.jpg,,,2017/10/8 上午 12:05:21,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765,
10610051004001,10608280014,10,90,愛心小站,狗,F,SMALL,黑色,ADULT,T,N,,,OPEN,我在沙鹿區"小確幸寵物沙龍"等待認養喔!歡迎來跟我互動~地址：沙鹿區中山路208號、聯絡電話：0916-102996、營業時間：10:00-20:30(週二公休)建議前往前先致電詢問動物狀況，以免向隅~,,2017-10-05,2999-12-31,2017-10-07 23:50:48,2017-10-05 13:58:26,臺中市愛心小站,,http://animal-adoption.coa.gov.tw/uploads/animal_album/90/de56f1d1b485fd4663e14a045827f513.png,,,2017/10/8 上午 12:05:22,,,
